scatter energy,scatter locations,absorption energies,absorption locations
0.127311,"[3.4, -5.0, 40.8]",0.0381156,"[13.4, 0.0, 80.6]"
0.337976,"[0.0, -13.4, 80.6]",0.273775,"[13.4, 0.0, 80.6]"
0.354364,"[13.4, 0.0, 80.6]",0.272258,"[0.0, 13.4, 80.6]"
0.434789,"[-13.4, 0.0, 80.6]",0.282026,"[0.0, 13.4, 80.6]"
0.364939,"[0.0, 13.4, 80.6]",0.266165,"[0.0, -13.4, 80.6]"
0.42877,"[-13.4, 0.0, 80.6]",0.248988,"[0.0, 13.4, 80.6]"
0.407067,"[-13.4, 0.0, 80.6]",0.301657,"[0.0, -13.4, 80.6]"
0.429961,"[-13.4, 0.0, 80.6]",0.205286,"[0.0, 13.4, 80.6]"
0.328837,"[0.0, 13.4, 80.6]",0.319988,"[13.4, 0.0, 80.6]"
0.372205,"[0.0, 13.4, 80.6]",0.316099,"[13.4, 0.0, 80.6]"
0.400949,"[0.0, 13.4, 80.6]",0.280729,"[0.0, -13.4, 80.6]"
0.333518,"[10.6, 2.7, 39.2]",0.234175,"[-13.4, 0.0, 80.6]"
0.360644,"[0.0, 13.4, 80.6]",0.280877,"[13.4, 0.0, 80.6]"
0.341733,"[-13.4, 0.0, 80.6]",0.343791,"[0.0, 13.4, 80.6]"
0.341943,"[13.4, 0.0, 80.6]",0.298737,"[0.0, -13.4, 80.6]"
0.360361,"[13.4, 0.0, 80.6]",0.267557,"[0.0, -13.4, 80.6]"
0.396478,"[3.4, -5.0, 40.8]",0.163089,"[-2.3, -2.2, 41.3]"
0.375936,"[0.0, -13.4, 80.6]",0.166034,"[0.0, 13.4, 80.6]"
0.432206,"[0.0, 13.4, 80.6]",0.00969324,"[13.4, 0.0, 80.6]"
0.418528,"[-13.4, 0.0, 80.6]",0.212779,"[13.4, 0.0, 80.6]"
0.335491,"[0.0, 13.4, 80.6]",0.00243281,"[-13.4, 0.0, 80.6]"
0.370466,"[0.0, 13.4, 80.6]",0.262401,"[-13.4, 0.0, 80.6]"
0.349857,"[13.4, 0.0, 80.6]",0.299309,"[0.0, -13.4, 80.6]"
0.33033,"[0.0, -13.4, 80.6]",0.296708,"[13.4, 0.0, 80.6]"
0.403825,"[-13.4, 0.0, 80.6]",0.320771,"[0.0, 13.4, 80.6]"
0.378661,"[-13.4, 0.0, 80.6]",0.297213,"[13.4, 0.0, 80.6]"
0.401099,"[3.4, -5.0, 40.8]",0.240224,"[-3.2, 3.5, 39.6]"
0.38378,"[0.0, 13.4, 80.6]",0.341041,"[13.4, 0.0, 80.6]"
0.357468,"[13.4, 0.0, 80.6]",0.276995,"[-13.4, 0.0, 80.6]"
0.353092,"[-13.4, 0.0, 80.6]",0.298589,"[13.4, 0.0, 80.6]"
0.398401,"[-13.4, 0.0, 80.6]",0.287571,"[0.0, 13.4, 80.6]"
0.428952,"[0.0, 13.4, 80.6]",0.254913,"[-13.4, 0.0, 80.6]"
0.330795,"[0.0, -13.4, 80.6]",0.171813,"[13.4, 0.0, 80.6]"
0.353569,"[0.0, 13.4, 80.6]",0.271968,"[13.4, 0.0, 80.6]"
0.381066,"[0.0, 13.4, 80.6]",0.25658,"[13.4, 0.0, 80.6]"
0.344986,"[0.0, 13.4, 80.6]",0.336994,"[13.4, 0.0, 80.6]"
0.38677,"[0.0, 13.4, 80.6]",0.261032,"[13.4, 0.0, 80.6]"
0.405192,"[-13.4, 0.0, 80.6]",0.240708,"[0.0, -13.4, 80.6]"
0.391692,"[-13.4, 0.0, 80.6]",0.00558473,"[0.0, -13.4, 80.6]"
0.402903,"[-13.4, 0.0, 80.6]",0.23845,"[13.4, 0.0, 80.6]"
0.348939,"[13.4, 0.0, 80.6]",0.327426,"[0.0, -13.4, 80.6]"
0.357695,"[13.4, 0.0, 80.6]",0.290278,"[-13.4, 0.0, 80.6]"
0.361903,"[0.0, -13.4, 80.6]",0.311521,"[13.4, 0.0, 80.6]"
0.404158,"[-13.4, 0.0, 80.6]",0.270312,"[0.0, -13.4, 80.6]"
0.329701,"[13.4, 0.0, 80.6]",0.301196,"[0.0, -13.4, 80.6]"
0.420094,"[-13.4, 0.0, 80.6]",0.266824,"[0.0, -13.4, 80.6]"
0.436865,"[-3.2, 3.5, 39.6]",0.20261,"[10.6, 2.7, 39.2]"
0.363146,"[13.4, 0.0, 80.6]",0.285209,"[-13.4, 0.0, 80.6]"
0.367207,"[0.0, -13.4, 80.6]",0.255297,"[13.4, 0.0, 80.6]"
0.436356,"[13.4, 0.0, 80.6]",0.300431,"[0.0, -13.4, 80.6]"
0.3446,"[0.0, -13.4, 80.6]",0.307016,"[13.4, 0.0, 80.6]"
0.36252,"[13.4, 0.0, 80.6]",0.316557,"[0.0, 13.4, 80.6]"
0.382847,"[0.0, -13.4, 80.6]",0.260254,"[13.4, 0.0, 80.6]"
0.41401,"[-13.4, 0.0, 80.6]",0.22806,"[13.4, 0.0, 80.6]"
0.430199,"[0.0, -13.4, 80.6]",0.220164,"[13.4, 0.0, 80.6]"
0.172583,"[3.4, -5.0, 40.8]",0.323235,"[0.0, 13.4, 80.6]"
0.376947,"[0.0, -13.4, 80.6]",0.237638,"[13.4, 0.0, 80.6]"
0.36752,"[0.0, 13.4, 80.6]",0.26768,"[0.0, -13.4, 80.6]"
0.36261,"[13.4, 0.0, 80.6]",0.34792,"[0.0, -13.4, 80.6]"
0.346452,"[0.0, 13.4, 80.6]",0.363424,"[13.4, 0.0, 80.6]"
0.354777,"[0.0, -13.4, 80.6]",0.327366,"[13.4, 0.0, 80.6]"
0.418403,"[-2.3, -2.2, 41.3]",0.231611,"[-3.2, 3.5, 39.6]"
0.376843,"[0.0, -13.4, 80.6]",0.00489934,"[0.0, 13.4, 80.6]"
0.349146,"[0.0, -13.4, 80.6]",0.301788,"[0.0, 13.4, 80.6]"
0.436379,"[0.0, 13.4, 80.6]",0.169194,"[13.4, 0.0, 80.6]"
0.370991,"[13.4, 0.0, 80.6]",0.261113,"[0.0, 13.4, 80.6]"
0.0892317,"[3.4, -5.0, 40.8]",0.623224,"[0.0, -13.4, 80.6]"
0.421953,"[0.0, 13.4, 80.6]",0.291355,"[-13.4, 0.0, 80.6]"
0.438398,"[-13.4, 0.0, 80.6]",0.263336,"[13.4, 0.0, 80.6]"
0.375795,"[-13.4, 0.0, 80.6]",0.231855,"[13.4, 0.0, 80.6]"
0.360291,"[13.4, 0.0, 80.6]",0.287407,"[-13.4, 0.0, 80.6]"
0.388679,"[-13.4, 0.0, 80.6]",0.243674,"[0.0, 13.4, 80.6]"
0.380886,"[-13.4, 0.0, 80.6]",0.293711,"[0.0, 13.4, 80.6]"
