scatter energy,scatter locations,absorption energies,absorption locations,scatter channels,absorption channels
0.41220408163265304,"[-3.2, 3.5, 39.6]",0.24024590163934428,"[-2.3, -2.2, 41.3]",0,1
0.4039837398373984,"[3.4, -5.0, 40.8]",0.26176470588235295,"[10.6, 2.7, 39.2]",2,3
0.09159663865546218,"[10.6, 2.7, 39.2]",0.5660857908847186,"[0.0, 13.4, 80.6]",3,5
0.39718498659517426,"[0.0, 13.4, 80.6]",0.2584057971014493,"[13.4, 0.0, 80.6]",5,6
0.37567954220314737,"[0.0, -13.4, 80.6]",0.2949438202247191,"[-13.4, 0.0, 80.6]",7,4
0.20840336134453782,"[10.6, 2.7, 39.2]",0.45293276108726754,"[0.0, -13.4, 80.6]",3,7
0.1361344537815126,"[10.6, 2.7, 39.2]",0.5164879356568365,"[0.0, 13.4, 80.6]",3,5
0.39048257372654155,"[0.0, 13.4, 80.6]",0.27839771101573674,"[0.0, -13.4, 80.6]",5,7
0.06360655737704918,"[-2.3, -2.2, 41.3]",0.5955764075067024,"[0.0, 13.4, 80.6]",1,5
0.11658536585365854,"[3.4, -5.0, 40.8]",0.5419571045576408,"[0.0, 13.4, 80.6]",2,5
0.399672131147541,"[-2.3, -2.2, 41.3]",0.25587755102040816,"[-3.2, 3.5, 39.6]",1,0
0.3455056179775281,"[-13.4, 0.0, 80.6]",0.3213161659513591,"[0.0, -13.4, 80.6]",4,7
0.163739837398374,"[3.4, -5.0, 40.8]",0.4887640449438202,"[-13.4, 0.0, 80.6]",2,4
0.09016326530612245,"[-3.2, 3.5, 39.6]",0.5642028985507247,"[13.4, 0.0, 80.6]",0,6
0.3651685393258427,"[-13.4, 0.0, 80.6]",0.2927038626609442,"[0.0, -13.4, 80.6]",4,7
0.4091304347826087,"[13.4, 0.0, 80.6]",0.2556179775280899,"[-13.4, 0.0, 80.6]",6,4
0.21176470588235294,"[10.6, 2.7, 39.2]",0.4572246065808298,"[0.0, -13.4, 80.6]",3,7
0.40077551020408164,"[-3.2, 3.5, 39.6]",0.26638655462184874,"[10.6, 2.7, 39.2]",0,3
0.1210569105691057,"[3.4, -5.0, 40.8]",0.5379356568364612,"[0.0, 13.4, 80.6]",2,5
0.40730612244897957,"[-3.2, 3.5, 39.6]",0.24721311475409838,"[-2.3, -2.2, 41.3]",0,1
0.32865168539325845,"[-13.4, 0.0, 80.6]",0.33150134048257374,"[0.0, 13.4, 80.6]",4,5
0.3957983193277311,"[10.6, 2.7, 39.2]",0.2599591836734694,"[-3.2, 3.5, 39.6]",3,0
0.39986595174262735,"[0.0, 13.4, 80.6]",0.26685393258426965,"[-13.4, 0.0, 80.6]",5,4
0.34475409836065574,"[-2.3, -2.2, 41.3]",0.3230894308943089,"[3.4, -5.0, 40.8]",1,2
0.16821138211382114,"[3.4, -5.0, 40.8]",0.48449275362318844,"[13.4, 0.0, 80.6]",2,6
0.37997138769670963,"[0.0, -13.4, 80.6]",0.2917391304347826,"[13.4, 0.0, 80.6]",7,6
0.4092682926829268,"[3.4, -5.0, 40.8]",0.24926229508196723,"[-2.3, -2.2, 41.3]",2,1
0.13325203252032522,"[3.4, -5.0, 40.8]",0.5323033707865169,"[-13.4, 0.0, 80.6]",2,4
0.33848354792560803,"[0.0, -13.4, 80.6]",0.3236231884057971,"[13.4, 0.0, 80.6]",7,6
0.3771101573676681,"[0.0, -13.4, 80.6]",0.27668539325842695,"[-13.4, 0.0, 80.6]",7,4
0.3455056179775281,"[-13.4, 0.0, 80.6]",0.32417739628040054,"[0.0, -13.4, 80.6]",4,7
0.34992846924177395,"[0.0, -13.4, 80.6]",0.3105797101449276,"[13.4, 0.0, 80.6]",7,6
0.425561797752809,"[-13.4, 0.0, 80.6]",0.2366666666666667,"[13.4, 0.0, 80.6]",4,6
0.42507246376811597,"[13.4, 0.0, 80.6]",0.2345505617977528,"[-13.4, 0.0, 80.6]",6,4
0.37751020408163266,"[-3.2, 3.5, 39.6]",0.27959016393442626,"[-2.3, -2.2, 41.3]",0,1
0.3945040214477212,"[0.0, 13.4, 80.6]",0.2654494382022472,"[-13.4, 0.0, 80.6]",5,4
0.423109243697479,"[10.6, 2.7, 39.2]",0.23406504065040648,"[3.4, -5.0, 40.8]",3,2
0.39325842696629215,"[-13.4, 0.0, 80.6]",0.26552217453505006,"[0.0, -13.4, 80.6]",4,7
0.40581967213114756,"[-2.3, -2.2, 41.3]",0.2493469387755102,"[-3.2, 3.5, 39.6]",1,0
0.3958445040214477,"[0.0, 13.4, 80.6]",0.2728985507246377,"[13.4, 0.0, 80.6]",5,6
0.03710204081632653,"[-3.2, 3.5, 39.6]",0.6264044943820225,"[-13.4, 0.0, 80.6]",0,4
0.3705737704918033,"[-2.3, -2.2, 41.3]",0.28813008130081297,"[3.4, -5.0, 40.8]",1,2
0.3397560975609756,"[3.4, -5.0, 40.8]",0.3185245901639344,"[-2.3, -2.2, 41.3]",2,1
0.37219101123595505,"[-13.4, 0.0, 80.6]",0.29127324749642347,"[0.0, -13.4, 80.6]",4,7
0.3909795918367347,"[-3.2, 3.5, 39.6]",0.2644262295081967,"[-2.3, -2.2, 41.3]",0,1
0.40308988764044945,"[-13.4, 0.0, 80.6]",0.2597997138769671,"[0.0, -13.4, 80.6]",4,7
0.15057142857142855,"[-3.2, 3.5, 39.6]",0.5178260869565218,"[13.4, 0.0, 80.6]",0,6
0.4068292682926829,"[3.4, -5.0, 40.8]",0.25336065573770494,"[-2.3, -2.2, 41.3]",2,1
0.0983265306122449,"[-3.2, 3.5, 39.6]",0.5584057971014493,"[13.4, 0.0, 80.6]",0,6
0.42507246376811597,"[13.4, 0.0, 80.6]",0.24571045576407508,"[0.0, 13.4, 80.6]",6,5
0.1775609756097561,"[3.4, -5.0, 40.8]",0.4859550561797753,"[-13.4, 0.0, 80.6]",2,4
0.42567346938775513,"[-3.2, 3.5, 39.6]",0.23403361344537815,"[10.6, 2.7, 39.2]",0,3
0.3556509298998569,"[0.0, -13.4, 80.6]",0.30067024128686326,"[0.0, 13.4, 80.6]",7,5
0.34269662921348315,"[-13.4, 0.0, 80.6]",0.3149275362318841,"[13.4, 0.0, 80.6]",4,6
0.37478991596638656,"[10.6, 2.7, 39.2]",0.2804098360655738,"[-2.3, -2.2, 41.3]",3,1
0.3824396782841823,"[0.0, 13.4, 80.6]",0.2801449275362319,"[13.4, 0.0, 80.6]",5,6
0.37724637681159423,"[13.4, 0.0, 80.6]",0.28324396782841826,"[0.0, 13.4, 80.6]",6,5
0.18865546218487395,"[10.6, 2.7, 39.2]",0.47000000000000003,"[13.4, 0.0, 80.6]",3,6
0.3513590844062947,"[0.0, -13.4, 80.6]",0.3146067415730337,"[-13.4, 0.0, 80.6]",7,4
0.20077551020408163,"[-3.2, 3.5, 39.6]",0.4656521739130435,"[13.4, 0.0, 80.6]",0,6
0.0743089430894309,"[3.4, -5.0, 40.8]",0.578695652173913,"[13.4, 0.0, 80.6]",2,6
0.1021311475409836,"[-2.3, -2.2, 41.3]",0.5569565217391305,"[13.4, 0.0, 80.6]",1,6
0.35814606741573035,"[-13.4, 0.0, 80.6]",0.2939678284182306,"[0.0, 13.4, 80.6]",4,5
0.13710204081632651,"[-3.2, 3.5, 39.6]",0.5301859799713877,"[0.0, -13.4, 80.6]",0,7
0.4088235294117647,"[10.6, 2.7, 39.2]",0.24885245901639347,"[-2.3, -2.2, 41.3]",3,1
0.34706723891273245,"[0.0, -13.4, 80.6]",0.31179775280898875,"[-13.4, 0.0, 80.6]",7,4
0.1046218487394958,"[10.6, 2.7, 39.2]",0.5526809651474531,"[0.0, 13.4, 80.6]",3,5
0.09179591836734693,"[-3.2, 3.5, 39.6]",0.5656521739130435,"[13.4, 0.0, 80.6]",0,6
0.40049180327868855,"[-2.3, -2.2, 41.3]",0.25955102040816325,"[-3.2, 3.5, 39.6]",1,0
0.3862359550561798,"[-13.4, 0.0, 80.6]",0.26838340486409157,"[0.0, -13.4, 80.6]",4,7
0.36137339055793993,"[0.0, -13.4, 80.6]",0.30043478260869566,"[13.4, 0.0, 80.6]",7,6
0.06050420168067227,"[10.6, 2.7, 39.2]",0.6047826086956521,"[13.4, 0.0, 80.6]",3,6
0.3989855072463768,"[13.4, 0.0, 80.6]",0.2556179775280899,"[-13.4, 0.0, 80.6]",6,4
0.14382113821138212,"[3.4, -5.0, 40.8]",0.5168539325842697,"[-13.4, 0.0, 80.6]",2,4
0.04485714285714286,"[-3.2, 3.5, 39.6]",0.6221910112359551,"[-13.4, 0.0, 80.6]",0,4
0.22857142857142856,"[10.6, 2.7, 39.2]",0.4311797752808989,"[-13.4, 0.0, 80.6]",3,4
0.362,"[-3.2, 3.5, 39.6]",0.30172131147540987,"[-2.3, -2.2, 41.3]",0,1
0.15210084033613444,"[10.6, 2.7, 39.2]",0.5056179775280899,"[-13.4, 0.0, 80.6]",3,4
0.351123595505618,"[-13.4, 0.0, 80.6]",0.30333333333333334,"[13.4, 0.0, 80.6]",4,6
0.12159183673469387,"[-3.2, 3.5, 39.6]",0.5308695652173914,"[13.4, 0.0, 80.6]",0,6
0.1403673469387755,"[-3.2, 3.5, 39.6]",0.523032904148784,"[0.0, -13.4, 80.6]",0,7
0.3885550786838341,"[0.0, -13.4, 80.6]",0.27808988764044945,"[-13.4, 0.0, 80.6]",7,4
0.03894308943089431,"[3.4, -5.0, 40.8]",0.6203147353361946,"[0.0, -13.4, 80.6]",2,7
0.3513590844062947,"[0.0, -13.4, 80.6]",0.30333333333333334,"[13.4, 0.0, 80.6]",7,6
0.0995798319327731,"[10.6, 2.7, 39.2]",0.5685507246376812,"[13.4, 0.0, 80.6]",3,6
0.38122950819672136,"[-2.3, -2.2, 41.3]",0.2746530612244898,"[-3.2, 3.5, 39.6]",1,0
0.14893877551020407,"[-3.2, 3.5, 39.6]",0.5105797101449275,"[13.4, 0.0, 80.6]",0,6
0.4207246376811594,"[13.4, 0.0, 80.6]",0.2497319034852547,"[0.0, 13.4, 80.6]",6,5
0.36280400572246063,"[0.0, -13.4, 80.6]",0.30196629213483145,"[-13.4, 0.0, 80.6]",7,4
0.1991596638655462,"[10.6, 2.7, 39.2]",0.45865522174535056,"[0.0, -13.4, 80.6]",3,7
0.10504201680672269,"[10.6, 2.7, 39.2]",0.5540579710144927,"[13.4, 0.0, 80.6]",3,6
0.4128755364806867,"[0.0, -13.4, 80.6]",0.2550938337801609,"[0.0, 13.4, 80.6]",7,5
0.05057142857142857,"[-3.2, 3.5, 39.6]",0.6137640449438202,"[-13.4, 0.0, 80.6]",0,4
0.37424892703862667,"[0.0, -13.4, 80.6]",0.297536231884058,"[13.4, 0.0, 80.6]",7,6
0.3938211382113821,"[3.4, -5.0, 40.8]",0.2652459016393443,"[-2.3, -2.2, 41.3]",2,1
0.40077551020408164,"[-3.2, 3.5, 39.6]",0.26260504201680673,"[10.6, 2.7, 39.2]",0,3
0.3699570815450644,"[0.0, -13.4, 80.6]",0.28370786516853935,"[-13.4, 0.0, 80.6]",7,4
0.18865546218487395,"[10.6, 2.7, 39.2]",0.4803370786516854,"[-13.4, 0.0, 80.6]",3,4
0.4190243902439024,"[3.4, -5.0, 40.8]",0.23491803278688528,"[-2.3, -2.2, 41.3]",2,1
0.40308988764044945,"[-13.4, 0.0, 80.6]",0.2555072463768116,"[13.4, 0.0, 80.6]",4,6
0.13914285714285712,"[-3.2, 3.5, 39.6]",0.5308695652173914,"[13.4, 0.0, 80.6]",0,6
0.4117959183673469,"[-3.2, 3.5, 39.6]",0.25745901639344265,"[-2.3, -2.2, 41.3]",0,1
0.1460816326530612,"[-3.2, 3.5, 39.6]",0.5115879828326181,"[0.0, -13.4, 80.6]",0,7
0.1240408163265306,"[-3.2, 3.5, 39.6]",0.533768115942029,"[13.4, 0.0, 80.6]",0,6
0.3844927536231884,"[13.4, 0.0, 80.6]",0.2752808988764045,"[-13.4, 0.0, 80.6]",6,4
0.3342696629213483,"[-13.4, 0.0, 80.6]",0.32211796246648794,"[0.0, 13.4, 80.6]",4,5
0.13873469387755102,"[-3.2, 3.5, 39.6]",0.5210674157303371,"[-13.4, 0.0, 80.6]",0,4
0.4064897959183673,"[-3.2, 3.5, 39.6]",0.24579831932773108,"[10.6, 2.7, 39.2]",0,3
0.37724637681159423,"[13.4, 0.0, 80.6]",0.29262734584450406,"[0.0, 13.4, 80.6]",6,5
0.14991869918699188,"[3.4, -5.0, 40.8]",0.5098314606741573,"[-13.4, 0.0, 80.6]",2,4
0.4157367668097282,"[0.0, -13.4, 80.6]",0.23735955056179775,"[-13.4, 0.0, 80.6]",7,4
0.3830434782608696,"[13.4, 0.0, 80.6]",0.28841201716738196,"[0.0, -13.4, 80.6]",6,7
0.37424489795918364,"[-3.2, 3.5, 39.6]",0.2972131147540984,"[-2.3, -2.2, 41.3]",0,1
0.3913877551020408,"[-3.2, 3.5, 39.6]",0.2722689075630252,"[10.6, 2.7, 39.2]",0,3
